,Name,Gender,Age,Ethnicity,Family_Status,Number_Caretakers,State_Caretakers,Number_Siblings,Order_Among_Siblings,State_Residence,Country,State_Country,State,State_State,State_School,State_Teachers,State_Classmates,Academic_Level,Grade,Academic_Passion,Years_Failed,Commute_Distance,Commute_Method,Commute_Duration,State_Commute,Work,Work_Type,State_Work,Dropout
3172,Mathilde Blanchard,female,67,White,biological family,1,4,3,2,5,France,7.69,Haute-Corse,6,3,3,9,B,12,7,3,5.3,metro,79,1,True,craftsmanship,9,True
3173,Florence Thompson,female,27,Asian,biological family,4,3,3,1,5,New Zealand,7.277,Marlborough,6,2,10,8,D,M2,9,3,3.2,walking,192,7,True,repetitive labour,4,True
3174,Maya Picard,female,42,Hispanic,step family,1,3,1,1,7,France,8.690000000000001,Lozère,8,7,2,10,A,5,2,2,3.8,walking,228,9,False,,,False
3175,Lasse Handeland,male,50,Hispanic,step family,1,2,1,1,6,Norway,9.392,Oppland,2,8,4,6,D,M2,5,0,6.8,taxi,45,1,True,hobby,3,False
3176,Beatriz García,female,33,Black,extended family,5,3,1,1,7,Spain,4.491,Castilla y León,1,8,3,9,C,1,7,2,21.0,taxi,140,5,False,,,True
3177,Rotraud Ackermann,female,45,Asian,Adopted,3,9,1,1,2,Germany,6.155,Bayern,2,1,1,7,D,10,10,1,0.6,walking,36,5,False,,,True
3178,Naiara Lopes,female,67,White,step family,5,5,3,1,10,Brazil,6.33,Maranhão,2,9,1,4,C,M1,1,2,2.8,motorbike,16,7,True,family business,7,True
3179,Lewis Lee,male,41,Arab,step family,5,1,1,1,8,New Zealand,9.277000000000001,Tasman,9,10,10,5,B,L3,6,2,15.0,car,90,10,False,,,True
3180,Steve Mendoza,male,56,Asian,step family,5,3,1,1,3,United Kingdom,6.064,South Glamorgan,3,5,1,7,C,1,6,0,1.9,car,11,5,True,craftsmanship,8,True
3181,Chaitanya Keshri,male,48,Arab,Abandonned,5,7,1,1,9,India,2.819,Arunachal Pradesh,1,5,2,2,D+,7,6,2,10.1,train,86,3,True,hobby,7,False
3182,Venla Oja,female,21,Hispanic,biological family,4,4,4,2,2,Finland,8.841999999999999,Southern Savonia,4,7,10,4,C+,11,2,2,2.1,metro,31,6,True,craftsmanship,2,True
3183,Théo Carpentier,male,60,Black,biological family,4,1,1,1,5,France,8.690000000000001,Rhône,4,6,5,4,B+,6,9,0,2.5,train,21,10,False,,,False
3184,Troyana Kornickiy,female,30,Black,biological family,4,1,4,3,4,Ukraine,5.875,Volinska,3,5,6,5,A,5,10,3,3.2,walking,192,9,True,repetitive labour,6,False
3185,Enrique Crespo,male,43,Asian,Abandonned,2,3,4,1,8,Spain,4.491,Islas Baleares,3,1,2,5,D,M1,2,0,23.0,metro,345,2,True,hobby,5,False
3186,Anna Nygaard,female,61,White,step family,2,6,3,3,8,Norway,5.392,Troms - Romsa,5,10,6,7,C,10,7,2,12.5,bus,125,1,False,,,True
3187,Neea Walli,female,54,White,extended family,4,5,2,2,7,Finland,5.842,Åland,4,2,5,8,A,9,9,0,3.9,walking,234,10,False,,,True
3188,Joris Dupont,male,39,White,extended family,3,9,1,1,4,France,4.69,Mayotte,3,5,5,6,A−,3,1,3,22.5,taxi,150,1,True,craftsmanship,1,True
3189,Léonie Fontai,female,38,Black,Adopted,1,6,1,1,8,France,6.69,Cantal,5,7,2,5,C−,13,7,2,2.4,car,14,5,True,repetitive labour,5,False
3190,Ruth Lefevre,female,47,Black,extended family,4,5,2,1,9,Switzerland,7.571,Appenzell Innerrhoden,2,10,9,7,B,3,2,1,2.6,car,15,7,False,,,True
3191,Quírio Castro,male,51,Arab,step family,5,2,3,1,3,Brazil,6.33,Minas Gerais,2,9,2,7,A−,L2,7,1,6.3,metro,94,3,False,,,True
3192,Ralph Hawkins,male,73,Arab,Abandonned,3,8,1,1,7,Ireland,5.085,Galway City,5,10,1,3,D,14,6,0,8.9,walking,534,5,False,,,False
3193,Lily Bradley,female,62,Asian,step family,4,6,2,2,9,United Kingdom,5.064,East Sussex,5,1,10,10,C−,2,3,1,11.0,train,94,2,True,craftsmanship,1,True
3194,Neel Bangera,male,27,Asian,extended family,4,6,4,1,6,India,4.819,Delhi,3,3,2,3,B,9,9,1,24.0,taxi,160,5,False,,,True
3195,Allen Graves,male,54,White,step family,4,5,4,2,4,United Kingdom,5.064,Hampshire,1,4,2,5,B−,13,2,0,11.0,train,94,7,False,,,False
3196,Alejandro Rubio,male,27,Black,Adopted,5,6,4,3,4,Spain,7.491,Asturias,4,4,4,4,A−,14,4,3,4.9,train,42,2,True,hobby,2,True
3197,Felecia Willis,female,66,White,step family,5,9,3,3,8,United States,7.951,Texas,1,3,4,10,C,L2,5,3,2.4,car,14,5,False,,,False
3198,Pascale Faure,female,65,White,step family,3,4,1,1,6,Switzerland,6.571,Ticino,3,3,5,3,C+,9,2,1,17.0,train,145,2,True,hobby,2,False
3199,Kayla Cooper,female,68,Asian,Abandonned,4,6,4,1,10,New Zealand,5.277,Marlborough,5,1,9,8,F,L2,1,0,9.5,bus,95,10,False,,,True
3200,Katie Young,female,29,Arab,extended family,1,2,2,1,8,United Kingdom,9.064,West Midlands,3,5,9,1,A,7,6,2,24.5,taxi,163,8,False,,,True
3201,Mstislava Oshchipko,female,27,White,extended family,2,1,2,2,1,Ukraine,2.875,Avtonomna Respublika Krim,2,2,10,1,A+,M1,10,3,10.1,metro,151,1,False,,,True
3202,Elin Fournier,female,71,Black,extended family,5,1,2,1,3,Switzerland,5.571,Aargau,2,10,5,6,C−,12,1,2,3.3,bus,32,1,False,,,False
3203,Pablo Morel,male,62,Hispanic,extended family,3,9,3,1,1,Switzerland,6.571,Luzern,5,8,1,7,A+,L2,6,0,2.7,bicycle,27,7,True,hobby,5,True
3204,Branka Ćirić,female,57,Asian,Adopted,3,9,2,1,10,Serbia,8.078,West Bačka,5,2,6,6,B−,10,2,0,1.1,car,6,1,True,family business,4,True
3205,Brad Morgan,male,73,Hispanic,extended family,2,1,3,2,2,Ireland,7.085,Kildare,1,3,3,7,C+,10,7,1,3.6,train,30,6,True,craftsmanship,8,False
3206,Thea Poulsen,female,30,White,biological family,1,10,4,1,5,Denmark,8.620000000000001,Sjælland,2,1,9,2,D+,L3,6,2,8.9,motorbike,53,1,False,,,True
3207,Anthony Perez,male,37,White,biological family,4,3,4,3,5,France,8.690000000000001,Haute-Loire,2,3,1,7,D+,4,3,2,0.7,motorbike,4,10,False,,,False
3208,Courtney Ten Hoope,female,46,Hispanic,extended family,2,6,2,1,5,Netherlands,6.464,Noord-Holland,4,1,9,8,D−,3,4,0,2.7,taxi,18,3,True,repetitive labour,9,False
3209,Sofia Wade,female,40,Black,Adopted,5,8,2,1,9,United Kingdom,7.064,South Glamorgan,7,7,7,8,B+,6,9,2,12.8,bicycle,128,10,True,family business,1,False
3210,Thiago Van der Vaart,male,46,White,Adopted,5,5,1,1,3,Netherlands,6.464,Groningen,2,1,1,9,C,8,4,2,2.4,bicycle,23,1,False,,,True
3211,Sophia Armstrong,female,50,Black,Adopted,5,5,3,3,8,Ireland,6.085,Kildare,5,8,2,7,B−,M1,7,3,5.9,car,35,2,False,,,True
3212,Elsa Francois,female,28,Arab,Adopted,1,10,3,3,8,France,5.69,Maine-et-Loire,3,9,1,10,D+,7,5,1,2.9,metro,43,10,True,hobby,5,True
3213,Cornelia Petermann,female,73,Asian,Adopted,3,4,3,3,9,Germany,8.155000000000001,Thüringen,2,6,7,10,D+,2,8,1,1.3,motorbike,7,7,False,,,False
3214,Isabelle Carvalho,female,66,Arab,step family,5,5,2,1,7,Brazil,7.33,Paraná,6,10,9,9,B+,1,6,2,5.8,taxi,38,7,False,,,True
3215,Ruby Turner,female,60,Black,Abandonned,4,8,3,2,10,New Zealand,9.277000000000001,Hawke'S Bay,3,3,7,1,D−,5,9,1,6.1,bicycle,61,7,True,hobby,9,False
3216,Johanne Poulsen,female,37,Asian,Adopted,2,4,2,2,8,Denmark,5.62,Midtjylland,4,5,2,5,D+,10,8,2,5.4,motorbike,32,9,False,,,False
3217,Azariy Dzhus,male,53,Black,biological family,4,3,2,1,8,Ukraine,2.875,Lvivska,1,2,6,9,D+,9,9,0,5.2,bus,52,6,True,craftsmanship,4,False
3218,Ilse Naranjo,female,53,Asian,Adopted,2,10,1,1,3,Mexico,6.317,Coahuila,2,10,5,1,B−,13,5,2,3.3,bus,32,9,False,,,True
3219,Melissa Dean,female,61,Asian,step family,5,7,1,1,4,Ireland,9.085,South Dublin,1,3,4,7,F,6,4,0,17.5,metro,262,5,True,craftsmanship,4,False
3220,Lyubomudr Voytyuk,male,30,Black,extended family,5,10,4,1,10,Ukraine,4.875,Hmelnicka,4,3,7,9,F,7,2,1,4.2,bicycle,42,2,False,,,True
3221,Sofie Jørgensen,female,78,Asian,step family,4,2,1,1,5,Denmark,7.62,Syddanmark,5,8,8,8,F,14,5,0,6.0,car,36,2,False,,,False
3222,Silvia Faure,female,31,Black,biological family,1,3,1,1,3,Switzerland,7.571,Glarus,1,10,8,5,B−,3,7,3,16.5,walking,990,5,True,repetitive labour,5,True
3223,Sarthak Hiremath,male,57,Black,Adopted,3,6,2,1,4,India,1.819,Andhra Pradesh,1,6,2,2,A,12,10,2,2.6,motorbike,15,10,True,hobby,7,True
3224,Dwayne Jimenez,male,52,Black,step family,3,8,1,1,1,United States,5.951,New York,2,8,1,6,B−,L2,9,3,1.3,car,7,10,False,,,False
3225,Liliana Alcaraz,female,54,Black,Abandonned,4,7,3,1,2,Mexico,8.317,Guanajuato,4,6,7,9,D+,3,2,1,8.9,train,76,5,True,craftsmanship,7,False
3226,Alejandro Ortiz,male,33,White,step family,2,6,3,1,4,Spain,8.491,Ceuta,7,8,10,9,A+,7,6,3,5.2,car,31,5,True,craftsmanship,9,True
3227,Anaïs Dufour,female,30,White,Adopted,5,3,1,1,10,France,8.690000000000001,Essonne,2,5,10,6,D−,4,7,2,15.0,taxi,100,6,False,,,False
3228,Cristina Diez,female,41,Hispanic,biological family,4,6,2,2,8,Spain,5.491,Castilla y León,5,4,10,10,D+,5,4,1,6.4,car,38,1,False,,,True
3229,Alcides Farias,male,42,White,Abandonned,1,4,1,1,1,Brazil,5.33,Piauí,1,8,8,10,C−,5,7,3,20.5,bus,205,8,False,,,True
3230,Barbara Thomas,female,43,Black,biological family,5,3,1,1,7,Ireland,8.085,Kildare,3,2,9,4,A+,13,4,3,5.4,train,46,6,True,family business,9,False
3231,Felix Hansen,male,68,Black,Adopted,4,8,3,2,1,United Kingdom,5.064,Strathclyde,5,6,3,6,A,6,3,2,2.6,car,15,8,False,,,False
3232,Loke Johnstad,male,39,Hispanic,biological family,2,10,2,1,6,Norway,6.392,Sør-Trøndelag,4,7,9,1,C,L2,4,2,4.1,walking,245,1,True,hobby,7,True
3233,Calvin Cooper,male,47,Hispanic,Abandonned,3,7,4,4,6,United States,8.951,Ohio,5,4,10,8,D−,7,9,2,4.3,taxi,28,3,True,hobby,5,False
3234,Joel Lammi,male,30,Arab,extended family,3,4,4,2,2,Finland,6.842,Ostrobothnia,3,9,3,7,C+,2,9,1,15.0,car,90,8,False,,,True
3235,Ruža Hadžić,female,46,Asian,Adopted,2,4,3,2,2,Serbia,7.078,Pčinja,5,10,1,10,F,3,3,1,1.3,walking,78,5,False,,,True
3236,Elsa Seppanen,female,41,White,extended family,5,4,4,2,7,Finland,8.841999999999999,Tavastia Proper,7,6,8,7,D,5,4,2,24.5,motorbike,147,5,False,,,False
3237,Orisya Bandura,female,37,Asian,extended family,1,10,4,1,3,Ukraine,2.875,Dnipropetrovska,1,3,8,3,D,1,7,2,6.8,car,40,3,False,,,False
3238,Kerttu Kinnunen,female,50,Asian,Adopted,1,1,4,3,7,Finland,5.842,Finland Proper,4,6,8,7,D+,L3,8,0,23.5,metro,352,6,False,,,False
3239,Socorro Carmona,female,39,White,Abandonned,5,2,2,1,2,Mexico,6.317,Chihuahua,5,4,10,4,D−,7,9,3,11.3,bus,113,6,True,family business,1,True
3240,Tanja Mühle,female,59,Asian,Adopted,5,1,4,3,8,Germany,7.155,Sachsen,5,5,10,10,B+,1,8,1,7.7,taxi,51,10,False,,,True
3241,Oğuzhan Tokgöz,male,66,Asian,biological family,3,4,2,2,7,Turkey,4.948,Osmaniye,2,10,3,3,B,3,8,1,11.0,motorbike,66,6,False,,,True
3242,Neea Makinen,female,60,White,extended family,4,5,2,2,4,Finland,8.841999999999999,Pirkanmaa,2,7,5,5,C,12,4,2,8.9,metro,133,4,True,family business,5,True
3243,Jack Davies,male,73,Black,biological family,5,6,2,1,1,Ireland,8.085,Louth,6,7,2,6,A,L2,2,2,0.7,metro,10,1,False,,,True
3244,Wendy Wells,female,39,Black,biological family,5,7,4,3,2,United States,6.951,Texas,4,6,9,1,A+,M1,7,3,5.0,bicycle,50,1,False,,,True
3245,Hajo Nolte,male,24,Arab,step family,5,5,2,1,8,Germany,7.155,Hamburg,2,8,5,5,C,M1,1,2,2.1,train,18,9,True,repetitive labour,7,False
3246,Paola Gaytán,female,39,Hispanic,Abandonned,3,3,2,1,1,Mexico,7.317,Nuevo Leon,5,8,10,4,C−,3,1,2,5.7,metro,85,5,True,family business,4,False
3247,Saheli Shroff,female,47,Arab,biological family,4,4,1,1,6,India,2.819,Uttarakhand,2,6,7,9,C,L2,3,2,2.5,car,15,10,False,,,True
3248,Andre Newman,male,64,White,step family,3,1,3,3,6,Ireland,5.085,Mayo,2,3,9,6,C+,3,8,3,21.0,bus,210,5,False,,,False
3249,Lyubomira Kirichenko,female,22,Asian,biological family,4,5,4,2,9,Ukraine,5.875,Rivnenska,5,3,9,9,C+,4,5,1,5.3,metro,79,3,True,repetitive labour,7,True
3250,Girindra Gugale,male,45,Asian,Abandonned,3,4,2,2,10,India,5.819,Odisha,3,6,7,2,B−,11,6,0,4.7,train,40,7,False,,,True
3251,Leevi Laine,male,50,Asian,biological family,5,10,3,3,8,Finland,7.842,Kainuu,7,4,10,3,B−,4,8,1,1.3,motorbike,7,5,False,,,False
3252,Granislav Senchuk,male,44,Black,extended family,3,1,1,1,7,Ukraine,5.875,Donecka,4,5,10,4,C+,13,5,3,3.5,walking,210,1,False,,,True
3253,Isaac Jimínez,male,46,White,Adopted,3,1,4,4,4,Mexico,5.317,Hidalgo,3,1,4,10,C,8,6,3,0.8,bicycle,8,2,True,family business,7,True
3254,Ceylan Taşçı,female,56,Asian,Abandonned,1,10,4,3,8,Turkey,3.9480000000000004,Van,2,2,2,10,D−,M1,1,2,1.5,bus,15,6,False,,,False
3255,Živojin Mitrović,male,26,White,Adopted,1,4,2,1,5,Serbia,4.078,Kosovska Mitrovica,2,9,8,10,B,13,6,3,14.3,taxi,95,5,False,,,True
3256,Kevin Morin,male,29,Hispanic,step family,5,9,3,3,10,Switzerland,5.571,Nidwalden,4,1,8,1,B+,11,3,1,3.3,car,19,9,True,family business,2,False
3257,Marianne Gagnon,female,66,Asian,Adopted,5,9,1,1,10,Canada,9.103,Saskatchewan,2,6,10,2,A−,L3,6,2,10.4,train,89,2,False,,,True
3258,Azuil Dias,male,40,Arab,Adopted,3,9,2,2,7,Brazil,5.33,São Paulo,4,5,10,3,D,8,3,3,13.4,bus,134,3,True,repetitive labour,1,True
3259,Pauline Fleury,female,76,Black,step family,5,3,3,2,10,Switzerland,6.571,Zürich,2,5,9,5,B,L3,9,2,3.6,bicycle,36,6,True,family business,2,False
3260,Byron Sullivan,male,41,Asian,step family,1,8,2,1,7,Ireland,9.085,Longford,1,10,6,1,A,L2,5,2,6.3,walking,378,8,False,,,True
3261,Camila Douglas,female,29,White,step family,2,5,3,2,6,Australia,9.183,Northern Territory,2,1,1,2,C,3,5,0,5.1,metro,76,1,False,,,False
3262,Slaviša Stojaković,male,52,Black,Adopted,2,1,4,4,7,Serbia,8.078,Šumadija,6,3,8,6,B−,11,7,1,20.5,car,122,6,False,,,True
3263,Orlando Fernández,male,44,Arab,extended family,3,9,3,2,5,Mexico,4.317,Nuevo Leon,3,4,1,9,D+,3,5,1,17.5,metro,262,9,True,repetitive labour,2,True
3264,Arnold Hunter,male,76,Arab,biological family,3,8,1,1,10,Australia,8.183,Victoria,1,3,7,6,D,11,5,1,13.4,motorbike,80,5,True,craftsmanship,6,False
3265,Enrique Ellis,male,30,Hispanic,extended family,2,4,3,3,5,Australia,8.183,South Australia,8,3,8,8,C+,12,10,3,4.4,train,37,2,False,,,True
3266,Clemens Fournier,male,46,Arab,Adopted,4,5,4,3,1,Switzerland,7.571,Vaud,4,7,2,8,C+,M2,9,0,18.5,taxi,123,8,False,,,False
3267,Gustav Møller,male,73,Asian,Abandonned,5,10,1,1,10,Denmark,8.620000000000001,Hovedstaden,3,4,5,6,A−,13,9,2,23.5,metro,352,8,False,,,True
3268,Soncedara Puhlyanko,female,38,Asian,biological family,2,7,4,2,6,Ukraine,6.875,Poltavska,5,10,9,2,C,4,6,3,17.0,walking,1020,5,True,family business,9,False
3269,Nora Giraud,female,32,Asian,Adopted,1,9,3,3,4,Switzerland,5.571,Zug,5,4,3,4,B+,M2,5,0,4.2,metro,63,10,True,hobby,9,True
3270,Lola Dacyuk,female,27,Hispanic,step family,1,1,3,3,5,Ukraine,4.875,Ternopilska,2,5,5,3,C−,8,3,2,20.5,taxi,136,7,True,hobby,9,False
3271,Joseph Jacobs,male,60,Hispanic,step family,4,9,4,1,6,United Kingdom,6.064,Wiltshire,1,5,10,1,B+,6,9,0,6.1,bus,61,10,False,,,True
3272,Archie Jones,male,22,Arab,step family,4,4,3,3,5,New Zealand,7.277,Canterbury,7,6,2,9,C−,8,4,0,10.1,walking,606,2,False,,,False
3273,Ülkü Abacı,female,41,Black,Adopted,3,8,4,4,10,Turkey,5.948,Nevşehir,3,3,10,3,C,3,2,2,0.7,motorbike,4,2,False,,,True
3274,Nelli Puro,female,22,Black,Abandonned,4,2,4,1,6,Finland,7.842,Pirkanmaa,6,5,9,6,C+,1,5,0,19.0,taxi,126,4,True,craftsmanship,9,True
3275,Mason Morin,male,43,Arab,biological family,5,10,3,3,3,Canada,5.103,Saskatchewan,2,10,1,8,B−,M2,6,3,11.3,walking,678,8,False,,,True
3276,Aatu Lehtonen,male,64,Arab,Abandonned,2,2,1,1,7,Finland,6.842,South Karelia,2,2,1,1,B−,14,1,0,6.8,taxi,45,8,True,hobby,10,False
3277,Patrick Lowe,male,61,Asian,step family,4,5,4,4,6,United States,4.951,New Mexico,2,2,1,7,C−,13,3,0,5.3,train,45,7,True,hobby,5,False
3278,Josefo Freitas,male,68,Black,Abandonned,4,8,1,1,2,Brazil,7.33,Roraima,5,6,6,3,B+,8,9,0,2.2,walking,132,5,True,craftsmanship,6,True
3279,Enio Duarte,male,74,Arab,biological family,1,4,2,2,2,Brazil,5.33,Distrito Federal,3,5,7,2,C+,13,10,1,2.4,train,20,2,False,,,False
3280,Jacey Willigenburg,female,71,Asian,Abandonned,4,8,1,1,5,Netherlands,9.464,Limburg,4,6,9,3,D+,9,1,1,3.5,bicycle,35,4,True,family business,2,True
3281,Traudl Dieterle,female,27,Asian,Adopted,3,6,2,2,1,Germany,7.155,Hessen,7,5,8,10,B−,6,3,0,4.9,walking,294,3,False,,,True
3282,Maria Nichols,female,32,Black,Abandonned,3,8,4,3,1,Ireland,8.085,Dublin City,2,7,10,6,F,12,1,3,2.5,motorbike,15,4,False,,,True
3283,Emma Rasmussen,female,65,White,step family,1,6,4,3,1,Denmark,5.62,Syddanmark,3,9,3,8,A+,10,2,1,16.0,bicycle,160,5,True,craftsmanship,7,False
3284,Ethan Gauthier,male,59,Asian,biological family,5,6,4,3,2,France,6.69,Morbihan,3,8,10,3,A−,L1,7,2,3.1,bus,31,4,True,repetitive labour,8,False
3285,Vanessa Gibson,female,62,Asian,Adopted,2,4,3,2,8,United Kingdom,6.064,Devon,4,9,5,2,D+,M2,2,1,1.6,motorbike,9,3,True,hobby,10,True
3286,Aiden Morin,male,65,Asian,Adopted,3,1,2,1,6,Canada,5.103,Newfoundland and Labrador,3,6,6,7,B,7,2,3,2.2,train,18,4,False,,,False
3287,Rosalyn Bowman,female,24,Hispanic,extended family,5,7,2,2,8,Ireland,9.085,Cork,8,1,2,10,F,M1,10,1,10.4,car,62,7,True,repetitive labour,8,True
3288,Lakshit Suvarna,male,23,Black,Abandonned,4,5,2,2,1,India,3.819,Mizoram,1,3,2,6,D,14,2,1,1.3,bus,13,7,True,hobby,9,False
3289,Olive Lewis,female,34,Asian,step family,3,4,1,1,5,New Zealand,6.277,Canterbury,1,6,1,7,C+,12,8,0,8.9,motorbike,53,2,False,,,True
3290,Thea Sørensen,female,71,Black,step family,5,3,1,1,2,Denmark,5.62,Sjælland,4,10,8,8,B,8,8,2,17.0,motorbike,102,4,False,,,True
3291,Brayden Henry,male,64,Asian,step family,4,2,1,1,8,United States,8.951,Alabama,5,8,5,10,B,11,7,0,3.9,motorbike,23,7,False,,,True
3292,Terry Kennedy,male,53,Arab,Adopted,5,7,4,2,10,United States,8.951,Hawaii,1,7,6,4,C+,8,9,3,22.0,taxi,146,7,False,,,False
3293,Ignacio Pastor,male,50,Asian,Abandonned,1,10,2,2,4,Spain,5.491,Comunidad Valenciana,1,8,6,6,F,1,4,1,11.3,bus,113,9,False,,,True
3294,Melvin Bryant,male,37,Asian,Abandonned,5,5,3,2,9,United Kingdom,8.064,Suffolk,5,2,4,4,A,11,9,0,5.9,bicycle,59,6,False,,,True
3295,Toby Hall,male,67,Arab,step family,4,3,2,1,5,New Zealand,9.277000000000001,Hawke'S Bay,2,9,1,10,C+,10,7,0,3.9,train,33,7,True,family business,9,True
3296,Lucélia Sales,female,28,Black,Adopted,4,6,4,1,6,Brazil,7.33,Amapá,6,1,1,6,D+,8,2,2,3.3,motorbike,19,3,True,hobby,1,True
3297,Freddie Bailey,male,69,Hispanic,Abandonned,4,2,2,1,3,Australia,7.183,New South Wales,3,2,2,7,D,L1,6,3,8.3,taxi,55,2,False,,,True
3298,Anđela Simonović,female,32,Arab,biological family,4,2,3,2,4,Serbia,6.078,South Banat,4,7,1,4,C,8,8,2,3.3,taxi,22,6,True,craftsmanship,2,True
3299,Nemanja Rađen,male,52,Hispanic,biological family,4,8,2,2,5,Serbia,4.078,Bor,1,5,8,8,D+,5,3,0,24.0,motorbike,144,5,True,repetitive labour,1,True
3300,Joaquin Gallego,male,36,Asian,step family,1,9,1,1,6,Spain,4.491,Melilla,2,1,3,10,C+,2,9,1,14.3,metro,214,10,True,repetitive labour,9,True
3301,Vanesa Ortega,female,32,Black,Adopted,4,1,2,2,3,Spain,8.491,Ceuta,6,6,7,6,C+,14,6,0,4.1,car,24,5,False,,,False
3302,Anirudh Prabhakaran,male,52,Black,biological family,3,4,4,1,9,India,3.819,Andaman and Nicobar Islands,3,8,3,6,D+,L3,1,3,0.7,taxi,4,10,True,repetitive labour,8,False
3303,Paula Bryant,female,32,Hispanic,biological family,4,7,3,3,3,Australia,9.183,South Australia,1,8,2,2,D+,1,1,2,14.6,train,125,9,True,hobby,9,True
3304,Tobias Devold,male,61,Asian,Abandonned,5,4,1,1,4,Norway,8.392,Description,2,10,9,6,A−,2,5,0,6.0,motorbike,36,7,True,family business,7,False
3305,Mikkel Hoddevik,male,52,Arab,Adopted,2,1,4,1,9,Norway,6.392,Sør-Trøndelag,5,7,5,5,A+,11,4,1,8.0,bus,80,4,True,family business,6,True
3306,Mason Ambrose,male,28,Asian,Adopted,3,10,4,1,6,Canada,7.103,Nova Scotia,4,1,9,6,A,9,10,1,16.5,metro,247,4,False,,,True
3307,Katalina Srejović,female,45,Black,extended family,3,1,3,2,3,Serbia,8.078,Bor,3,1,9,4,A,L3,2,3,1.1,walking,66,9,True,craftsmanship,1,True
3308,Mercedes Brugger,female,70,White,step family,1,3,3,1,8,Germany,6.155,Rheinland-Pfalz,5,1,4,5,A+,6,4,0,6.5,walking,390,8,False,,,True
3309,Herman Harris,male,32,Arab,step family,1,5,4,3,6,United Kingdom,5.064,Strathclyde,4,8,6,6,B+,7,8,3,4.0,taxi,26,7,False,,,False
3310,Valdemar Larsen,male,77,Asian,Abandonned,4,5,1,1,3,Denmark,9.620000000000001,Syddanmark,4,8,1,3,C,11,8,0,8.6,taxi,57,4,True,hobby,8,False
3311,Kira Korobka,female,58,Black,step family,4,8,3,2,6,Ukraine,2.875,Sumska,1,5,8,5,D+,14,4,1,14.0,walking,840,10,True,hobby,2,False
3312,Prajna Anchan,female,42,Black,extended family,4,8,3,3,1,India,5.819,Goa,4,6,8,6,C,M2,8,0,6.4,bus,64,7,True,repetitive labour,7,False
3313,Bratislav Tripković,male,40,Arab,extended family,5,8,2,1,10,Serbia,7.078,South Banat,6,5,8,1,B−,1,1,2,7.7,motorbike,46,6,True,craftsmanship,9,False
3314,Elmano da Luz,male,71,Asian,step family,5,7,2,2,3,Brazil,6.33,Paraná,4,5,7,7,A,8,3,2,14.0,motorbike,84,10,True,repetitive labour,1,False
3315,Violet Sims,female,69,Hispanic,step family,1,5,2,1,4,Australia,5.183,Australian Capital Territory,5,1,10,2,D,12,9,3,6.2,train,53,4,True,craftsmanship,5,False
3316,Jade Abraham,female,31,Hispanic,Abandonned,4,4,4,3,3,Canada,7.103,Yukon,7,7,6,1,D−,3,3,2,3.4,bus,34,3,False,,,False
3317,Daniel Sáez,male,21,Asian,extended family,5,8,1,1,3,Spain,6.491,Castilla y León,5,6,1,9,A,12,10,1,4.7,taxi,31,6,True,family business,5,True
3318,Hudson Wood,male,37,White,Adopted,3,5,1,1,4,New Zealand,8.277000000000001,Taranaki,7,9,1,1,C−,M2,10,3,0.5,bicycle,5,10,False,,,True
3319,Augustin Henry,male,36,Hispanic,Abandonned,3,7,4,4,7,France,5.69,Ille-et-Vilaine,2,4,9,7,D−,M2,10,0,18.5,taxi,123,4,True,repetitive labour,9,True
3320,ثنا کامروا,female,59,Arab,Adopted,4,2,1,1,7,Iran,6.721,آذربایجان شرقی,6,10,4,10,B−,14,10,1,4.5,bus,45,1,False,,,False
3321,Noah Hansen,male,23,Black,step family,3,5,1,1,9,Denmark,8.620000000000001,Danmark,5,6,9,6,D,9,8,1,0.7,metro,10,1,True,hobby,4,True
3322,María Elena Zamora,female,47,Black,Abandonned,3,10,3,1,10,Mexico,8.317,Hidalgo,7,3,4,7,C+,5,3,2,24.5,car,147,5,False,,,False
3323,Adyasa Tipparti,female,40,Hispanic,step family,4,4,3,2,9,India,4.819,Bihar,2,4,4,6,B−,L2,2,3,23.5,bicycle,235,1,True,hobby,8,False
3324,Bernabé Balderas,female,26,White,extended family,1,10,1,1,3,Mexico,6.317,Estado de Mexico,1,4,10,5,D−,8,6,0,24.5,walking,1470,9,True,repetitive labour,7,True
3325,Delphine Roy,female,48,White,Adopted,5,9,2,2,8,Canada,6.103,British Columbia,3,2,3,5,C,1,2,1,19.5,train,167,4,False,,,True
3326,Ramona Mckinney,female,51,White,biological family,5,1,2,1,1,United States,6.951,Virginia,1,1,1,5,D−,10,8,1,5.4,train,46,6,False,,,False
3327,Felix Christiansen,male,38,Hispanic,extended family,5,7,3,1,3,Denmark,8.620000000000001,Sjælland,4,4,8,10,A−,10,4,3,11.0,train,94,2,True,hobby,4,True
3328,Tiril Nybakken,female,49,White,biological family,1,9,1,1,5,Norway,7.392,Finnmark - Finnmárku,2,8,1,1,B+,4,7,3,4.1,metro,61,8,False,,,True
3329,Jamila Groenhof,female,43,White,Abandonned,1,5,1,1,6,Netherlands,7.464,Zuid-Holland,6,7,2,9,B−,L2,3,3,5.7,metro,85,8,True,repetitive labour,8,True
3330,Salvatore Diederichs,male,49,Hispanic,Abandonned,2,3,2,1,4,Germany,9.155000000000001,Mecklenburg-Vorpommern,1,1,2,9,A−,4,6,1,3.2,taxi,21,8,False,,,False
